id,team,branch_name,isSoftware,link,updated
"tag:gitlab.igem.org,2024-09-26:592188",HKUST,main,False,https://gitlab.igem.org/2024/hkust/,2024-09-26T15:48:31Z
"tag:gitlab.igem.org,2024-09-26:592189",Bielefeld-CeBiTec,main,False,https://gitlab.igem.org/2024/bielefeld-cebitec/,2024-09-26T15:48:37Z
"tag:gitlab.igem.org,2024-09-26:592190",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T15:48:45Z
"tag:gitlab.igem.org,2024-09-26:592191",LethbridgeHS,main,False,https://gitlab.igem.org/2024/lethbridgehs/,2024-09-26T15:48:49Z
"tag:gitlab.igem.org,2024-09-26:592192",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T15:49:24Z
"tag:gitlab.igem.org,2024-09-26:592222",KULeuven,main,False,https://gitlab.igem.org/2024/kuleuven/,2024-09-26T15:55:02Z
"tag:gitlab.igem.org,2024-09-26:592223",Sheffield,main,False,https://gitlab.igem.org/2024/sheffield/,2024-09-26T15:55:02Z
"tag:gitlab.igem.org,2024-09-26:592224",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T15:55:19Z
"tag:gitlab.igem.org,2024-09-26:592226",NENU-China,main,False,https://gitlab.igem.org/2024/nenu-china/,2024-09-26T15:55:55Z
"tag:gitlab.igem.org,2024-09-26:592227",SubCat-HS,main,False,https://gitlab.igem.org/2024/subcat-hs/,2024-09-26T15:56:28Z
"tag:gitlab.igem.org,2024-09-26:592228",TokyoTech,main,False,https://gitlab.igem.org/2024/tokyotech/,2024-09-26T15:56:48Z
"tag:gitlab.igem.org,2024-09-26:592229",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:57:42Z
"tag:gitlab.igem.org,2024-09-26:592230",NNHS,main,False,https://gitlab.igem.org/2024/nnhs/,2024-09-26T15:57:56Z
"tag:gitlab.igem.org,2024-09-26:592231",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:57:57Z
"tag:gitlab.igem.org,2024-09-26:592232",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T15:58:16Z
"tag:gitlab.igem.org,2024-09-26:592233",CCU-Taiwan,main,True,https://gitlab.igem.org/2024/software-tools/ccu-taiwan/,2024-09-26T15:58:23Z
"tag:gitlab.igem.org,2024-09-26:592234",LCG-Global,main,False,https://gitlab.igem.org/2024/lcg-global/,2024-09-26T15:58:23Z
"tag:gitlab.igem.org,2024-09-26:592235",BJWZ-3-China,main,False,https://gitlab.igem.org/2024/bjwz-3-china/,2024-09-26T15:58:25Z
"tag:gitlab.igem.org,2024-09-26:592236",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T15:58:28Z
"tag:gitlab.igem.org,2024-09-26:592237",UESTC-China,main,False,https://gitlab.igem.org/2024/uestc-china/,2024-09-26T15:58:59Z
"tag:gitlab.igem.org,2024-09-26:592238",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T15:59:05Z
"tag:gitlab.igem.org,2024-09-26:592239",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T15:59:50Z
"tag:gitlab.igem.org,2024-09-26:592240",NENU-China,main,False,https://gitlab.igem.org/2024/nenu-china/,2024-09-26T15:59:58Z
"tag:gitlab.igem.org,2024-09-26:592241",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:00:02Z
"tag:gitlab.igem.org,2024-09-26:592243",PuiChing-Macau,main,False,https://gitlab.igem.org/2024/puiching-macau/,2024-09-26T16:00:39Z
"tag:gitlab.igem.org,2024-09-26:592244",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T16:01:05Z
"tag:gitlab.igem.org,2024-09-26:592246",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:01:12Z
"tag:gitlab.igem.org,2024-09-26:592247",SZ-SHD,main,False,https://gitlab.igem.org/2024/sz-shd/,2024-09-26T16:01:36Z
"tag:gitlab.igem.org,2024-09-26:592248",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T16:01:41Z
"tag:gitlab.igem.org,2024-09-26:592249",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:01:43Z
"tag:gitlab.igem.org,2024-09-26:592250",Bielefeld-CeBiTec,main,False,https://gitlab.igem.org/2024/bielefeld-cebitec/,2024-09-26T16:02:10Z
"tag:gitlab.igem.org,2024-09-26:592251",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:03:07Z
"tag:gitlab.igem.org,2024-09-26:592252",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:03:23Z
"tag:gitlab.igem.org,2024-09-26:592253",CHINA-HUBU-WUHAN,main,False,https://gitlab.igem.org/2024/china-hubu-wuhan/,2024-09-26T16:03:28Z
"tag:gitlab.igem.org,2024-09-26:592254",Hannover,main,False,https://gitlab.igem.org/2024/hannover/,2024-09-26T16:03:30Z
"tag:gitlab.igem.org,2024-09-26:592255",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:03:43Z
"tag:gitlab.igem.org,2024-09-26:592256",IOANNINA,main,False,https://gitlab.igem.org/2024/ioannina/,2024-09-26T16:03:49Z
"tag:gitlab.igem.org,2024-09-26:592257",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:04:16Z
"tag:gitlab.igem.org,2024-09-26:592279",CCU-Taiwan,main,True,https://gitlab.igem.org/2024/software-tools/ccu-taiwan/,2024-09-26T16:09:09Z
"tag:gitlab.igem.org,2024-09-26:592280",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T16:09:14Z
"tag:gitlab.igem.org,2024-09-26:592281",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:09:16Z
"tag:gitlab.igem.org,2024-09-26:592282",ICJFLS,main,False,https://gitlab.igem.org/2024/icjfls/,2024-09-26T16:09:34Z
"tag:gitlab.igem.org,2024-09-26:592283",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:09:38Z
"tag:gitlab.igem.org,2024-09-26:592284",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:09:50Z
"tag:gitlab.igem.org,2024-09-26:592285",HBUT-China,main,False,https://gitlab.igem.org/2024/hbut-china/,2024-09-26T16:10:11Z
"tag:gitlab.igem.org,2024-09-26:592286",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:10:17Z
"tag:gitlab.igem.org,2024-09-26:592287",KULeuven,main,False,https://gitlab.igem.org/2024/kuleuven/,2024-09-26T16:10:20Z
"tag:gitlab.igem.org,2024-09-26:592288",SCU-China,main,False,https://gitlab.igem.org/2024/scu-china/,2024-09-26T16:10:23Z
"tag:gitlab.igem.org,2024-09-26:592291",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T16:10:49Z
"tag:gitlab.igem.org,2024-09-26:592292",Queens-Canada,main,False,https://gitlab.igem.org/2024/queens-canada/,2024-09-26T16:11:01Z
"tag:gitlab.igem.org,2024-09-26:592293",SMU-GDMU-CHINA,main,False,https://gitlab.igem.org/2024/smu-gdmu-china/,2024-09-26T16:11:23Z
"tag:gitlab.igem.org,2024-09-26:592294",CNPEM-BRAZIL,main,False,https://gitlab.igem.org/2024/cnpem-brazil/,2024-09-26T16:11:27Z
"tag:gitlab.igem.org,2024-09-26:592295",TokyoTech,main,False,https://gitlab.igem.org/2024/tokyotech/,2024-09-26T16:11:48Z
"tag:gitlab.igem.org,2024-09-26:592297",KULeuven,main,False,https://gitlab.igem.org/2024/kuleuven/,2024-09-26T16:12:38Z
"tag:gitlab.igem.org,2024-09-26:592298",TestDaily-I-Beijing,main,False,https://gitlab.igem.org/2024/testdaily-i-beijing/,2024-09-26T16:13:22Z
"tag:gitlab.igem.org,2024-09-26:592300",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:14:02Z
"tag:gitlab.igem.org,2024-09-26:592301",IEA,main,False,https://gitlab.igem.org/2024/iea/,2024-09-26T16:14:04Z
"tag:gitlab.igem.org,2024-09-26:592302",CAU-China,main,False,https://gitlab.igem.org/2024/cau-china/,2024-09-26T16:14:17Z
"tag:gitlab.igem.org,2024-09-26:592303",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:14:21Z
"tag:gitlab.igem.org,2024-09-26:592304",IEA,main,False,https://gitlab.igem.org/2024/iea/,2024-09-26T16:14:34Z
"tag:gitlab.igem.org,2024-09-26:592305",VIT-V,main,False,https://gitlab.igem.org/2024/vit-v/,2024-09-26T16:14:57Z
"tag:gitlab.igem.org,2024-09-26:592306",SJTU-BioX-Shanghai,main,False,https://gitlab.igem.org/2024/sjtu-biox-shanghai/,2024-09-26T16:15:26Z
"tag:gitlab.igem.org,2024-09-26:592307",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:15:40Z
"tag:gitlab.igem.org,2024-09-26:592308",ICJFLS,main,False,https://gitlab.igem.org/2024/icjfls/,2024-09-26T16:15:42Z
"tag:gitlab.igem.org,2024-09-26:592309",Tsinghua,main,False,https://gitlab.igem.org/2024/tsinghua/,2024-09-26T16:16:06Z
"tag:gitlab.igem.org,2024-09-26:592310",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T16:16:09Z
"tag:gitlab.igem.org,2024-09-26:592311",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T16:16:50Z
"tag:gitlab.igem.org,2024-09-26:592312",JU-Krakow,main,False,https://gitlab.igem.org/2024/ju-krakow/,2024-09-26T16:16:57Z
"tag:gitlab.igem.org,2024-09-26:592313",LethbridgeHS,main,False,https://gitlab.igem.org/2024/lethbridgehs/,2024-09-26T16:17:13Z
"tag:gitlab.igem.org,2024-09-26:592314",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T16:17:37Z
"tag:gitlab.igem.org,2024-09-26:592315",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:17:38Z
"tag:gitlab.igem.org,2024-09-26:592316",Bielefeld-CeBiTec,main,False,https://gitlab.igem.org/2024/bielefeld-cebitec/,2024-09-26T16:17:42Z
"tag:gitlab.igem.org,2024-09-26:592317",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T16:17:52Z
"tag:gitlab.igem.org,2024-09-26:592318",HongKong-UCCKE,main,False,https://gitlab.igem.org/2024/hongkong-uccke/,2024-09-26T16:17:52Z
"tag:gitlab.igem.org,2024-09-26:592319",NUDT-CHINA,main,False,https://gitlab.igem.org/2024/nudt-china/,2024-09-26T16:17:59Z
